"","Genome","Final_Guess","Final_Best_Hit","Final_Best_Hit_Read_Numbers","Final_High_Confidence_Hits","Final_Low_Confidence_Hits","Initial_Guess","Initial_Best_Hit","Initial_Best_Hit_Read_Numbers","Initial_High_Confidence_Hits","Initial_Low_Confidence_Hits","filename","Aligned_Reads","Mapped_Genome"
"1","ti|216597|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._SL1344",0.959315617269075,0.954494880748062,967686,0.954494880748062,0,0.0846147305247306,0.0916686350272666,92935.4955633435,0.0168718312915508,0.89662563374169,"../../bioinf/genome_purity/SRR1555296/SRR1555296-sam-report.tsv","1013820","22414"
"2","ti|99287|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2",0.0371210358452243,0.0371288788936892,37642,0.0371288788936892,0,0.0811052616806469,0.0909619465748028,92219.0406764666,0.00798070663431378,0.94936477875757,"../../bioinf/genome_purity/SRR1555296/SRR1555296-sam-report.tsv","1013820","22414"
"3","ti|1081093|org|Salmonella_enterica_subsp._enterica_serovar_Gallinarum/pullorum",0.00202183019913193,0.00487265984099742,4940,0.00487068710421968,1.97273677773175e-06,0.0207778208894124,0.0169930645558435,17227.9087080053,0.00328953857686769,0.244724901856345,"../../bioinf/genome_purity/SRR1555296/SRR1555296-sam-report.tsv","1013820","22414"
"4","ti|718274|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str.",0.000643345023872194,0.000580970981042,589,0.000579984612653134,9.86368388865874e-07,0.073849414020692,0.0821110085263233,83245.7826641571,0.00026533309660492,0.943596496419483,"../../bioinf/genome_purity/SRR1555296/SRR1555296-sam-report.tsv","1013820","22414"
"5","ti|439851|org|Salmonella_enterica_subsp._enterica_serovar_Dublin_str._CT_02021853",0.000315408378120258,0.000761476396204454,772,0.000751612712315796,9.86368388865874e-06,0.0226527488559458,0.0189095598354706,19170.8899523968,0.00239786155333294,0.2790485490521,"../../bioinf/genome_purity/SRR1555296/SRR1555296-sam-report.tsv","1013820","22414"
"6","ti|605|org|Salmonella_enterica_subsp._enterica_serovar_Pullorum",0.000138299703364573,0.000225878361050285,229,0.000225878361050285,0,0.000754174861585954,0.000846270144582363,857.965597980491,0.000142037047996686,0.00868004182201969,"../../bioinf/genome_purity/SRR1555296/SRR1555296-sam-report.tsv","1013820","22414"
"7","ti|90371|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium",0.000120848833613955,0.000297883253437494,302,0.000291965043104299,5.91821033319524e-06,0.014477299828752,0.016284208999217,16509.2567675861,0.00037777909293563,0.199015604347912,"../../bioinf/genome_purity/SRR1555296/SRR1555296-sam-report.tsv","1013820","22414"
"8","ti|1171376|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._U288",0.000117095059533712,0.000115405101497307,117,0.000108500522775246,6.90457872206112e-06,0.0734513041296291,0.0819828987826655,83115.902443842,7.7923102720404e-05,0.943476159476041,"../../bioinf/genome_purity/SRR1555296/SRR1555296-sam-report.tsv","1013820","22414"
"9","ti|990282|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._UK-1",6.42337003531078e-05,5.22775246098913e-05,53,5.22775246098913e-05,0,0.0701876510152553,0.0751095247731513,76147.5384055163,8.18685762758675e-05,0.917699394369809,"../../bioinf/genome_purity/SRR1555296/SRR1555296-sam-report.tsv","1013820","22414"
"10","ti|568708|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._D23580",4.0045241996427e-05,3.05774200548421e-05,31,3.05774200548421e-05,0,0.0662315915327841,0.0705892113422821,71564.7542430324,3.45228936103056e-05,0.878481387228502,"../../bioinf/genome_purity/SRR1555296/SRR1555296-sam-report.tsv","1013820","22414"
"11","ti|1016998|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_B_str._SPB7",2.28292294977879e-05,7.7923102720404e-05,79,7.39776291649405e-05,3.94547355546349e-06,0.0206292503657757,0.0173229462986086,17562.3494164554,9.56777337199897e-05,0.287874573395672,"../../bioinf/genome_purity/SRR1555296/SRR1555296-sam-report.tsv","1013820","22414"
"12","ti|439843|org|Salmonella_enterica_subsp._enterica_serovar_Schwarzengrund_str.",1.45115609719222e-05,8.08822078870016e-05,82,7.69367343315381e-05,3.94547355546349e-06,0.0105145548923723,0.00793030970189182,8039.90658197197,6.70730504428794e-05,0.153908977925075,"../../bioinf/genome_purity/SRR1555296/SRR1555296-sam-report.tsv","1013820","22414"
"13","ti|454169|org|Salmonella_enterica_subsp._enterica_serovar_Heidelberg_str._SL476",1.06269041565271e-05,4.73456826655619e-05,48,4.73456826655619e-05,0,0.0273579450990925,0.0244134146119858,24750.8080019234,3.05774200548421e-05,0.383611489218994,"../../bioinf/genome_purity/SRR1555296/SRR1555296-sam-report.tsv","1013820","22414"
"14","ti|149539|org|Salmonella_enterica_subsp._enterica_serovar_Enteritidis",9.11687585418574e-06,3.45228936103056e-05,35,3.45228936103056e-05,0,0.000959605554306427,0.000961471391951054,974.758926587818,7.0032155609477e-05,0.013251859304413,"../../bioinf/genome_purity/SRR1555296/SRR1555296-sam-report.tsv","1013820","22414"
"15","ti|32630|org|synthetic_construct",7.95065067876048e-06,2.26864729439151e-05,23,2.26864729439151e-05,0,0.000134545232383892,0.000121534609528585,123.21421783227,0,0.00113333727880689,"../../bioinf/genome_purity/SRR1555296/SRR1555296-sam-report.tsv","1013820","22414"
"16","ti|1267753|org|Salmonella_enterica_subsp._enterica_serovar_Javiana_str.",6.8208551335567e-06,8.77867866090627e-05,89,8.68004182201969e-05,9.86368388865874e-07,0.0101229494207597,0.00766358338441928,7769.49410679196,0.000102582312442051,0.148518474679923,"../../bioinf/genome_purity/SRR1555296/SRR1555296-sam-report.tsv","1013820","22414"
"17","ti|476213|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_C_strain",5.16034311896318e-06,2.76183148882445e-05,28,2.66319464993786e-05,9.86368388865874e-07,0.0174419308314453,0.014119702616265,14314.8369064218,1.5781894221854e-05,0.25113037817364,"../../bioinf/genome_purity/SRR1555296/SRR1555296-sam-report.tsv","1013820","22414"
